證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
234	新世紀集團	新世纪集团
235	中策資本控股	中策资本控股
236	香港生力啤	香港生力啤
237	安全貨倉	安全货仓
239	白花油	白花油
240	利基控股	利基控股
241	阿里健康	阿里健康
242	信德集團	信德集团
243	QPL INT'L	QPL INT'L
244	先施	先施
245	中薇金融	中薇金融
247	TST PROPERTIES	TST PROPERTIES
248	香港通訊國際控股	香港通讯国际控股
251	爪哇控股	爪哇控股
252	華信地產財務	华信地产财务
253	順豪控股	顺豪控​​股
254	國家聯合資源	国家联合资源
255	龍記集團	龙记集团
256	冠城鐘錶珠寶	冠城钟表珠宝
257	光大環境	光大环境
258	湯臣集團	汤臣集团
259	億都（國際控股）	亿都（国际控股）
261	GBA集團	GBA集团
262	迪臣發展國際	迪臣发展国际
264	中聯發展控股	中联发展控股
265	港譽智慧城市服務	港誉智慧城市服务
266	天德地產	天德地产
267	中信股份	中信股份
268	金蝶國際	金蝶国际
269	中國資源交通	中国资源交通
270	粵海投資	粤海投资
271	亞證地產	亚证地产
272	瑞安房地產	瑞安房地产
274	復興亞洲	复兴亚洲
276	蒙古能源	蒙古能源
277	太興置業	太兴置业
279	裕承科金	裕承科金
280	景福集團	景福集团
285	比亞迪電子	比亚迪电子
286	愛帝宮	爱帝宫
287	永發置業	永发置业
288	萬洲國際	万洲国际
289	WING ON CO	WING ON CO
290	國富量子	国富量子
291	華潤啤酒	华润啤酒
293	國泰航空	国泰航空
294	長江製衣	长江制衣
295	江山控股	江山控股
296	英皇娛樂酒店	英皇娱乐酒店
297	中化化肥	中化化肥
298	莊士中國	庄士中国
299	寶新置地	宝新置地
300	美的集團	美的集团
301	三和精化	三和精化
302	中手游	中手游
303	VTECH HOLDINGS	VTECH HOLDINGS
305	五菱汽車	五菱汽车
306	冠忠巴士集團	冠忠巴士集团
308	香港中旅	香港中旅
309	新華通訊頻媒	新华通讯频媒
310	嘉進投資國際	嘉进投资国际
311	聯泰控股	联泰控股
312	歲寶百貨	岁宝百货
313	裕田中國	裕田中国
314	思派健康	思派健康
315	數碼通電訊	数码通电讯
316	東方海外國際	东方海外国际
317	中船防務	中船防务
318	黃河實業	黄河实业
320	金寶通	金宝通
321	德永佳集團	德永佳集团
322	康師傅控股	康师傅控股
323	馬鞍山鋼鐵股份	马鞍山钢铁股份
325	布魯可	布鲁可
326	中國星集團	中国星集团
327	百富環球	百富环球
328	ALCO HOLDINGS	ALCO HOLDINGS
329	東建國際	东建国际
330	思捷環球	思捷环球
331	豐盛生活服務	丰盛生活服务
332	元亨燃氣	元亨燃气
333	黛麗斯國際	黛丽斯国际
334	華顯光電	华显光电
335	美建集團	美建集团
336	華寶國際	华宝国际
337	綠地香港	绿地香港
338	上海石油化工股份	上海石油化工股份
339	中國科創產業投資	中国科创产业投资
340	潼關黃金	潼关黄金
341	大家樂集團	大家乐集团
343	文化傳信	文化传信
345	VITASOY INT'L	VITASOY INT'L
346	延長石油國際	延长石油国际
347	鞍鋼股份	鞍钢股份
348	中國智能健康	中国智能健康
351	亞洲能源物流	亚洲能源物流
352	富陽	富阳
353	能源國際投資	能源国际投资
354	中國軟件國際	中国软件国际
355	世紀城市國際	世纪城市国际
356	鼎立資本	鼎立资本
357	美蘭空港	美兰空港
358	江西銅業股份	江西铜业股份
360	新焦點	新焦点
361	順龍控股	顺龙控股
362	中國天化工	中国天化工
363	上海實業控股	上海实业控股
365	芯成科技	芯成科技
366	陸氏集團（越南）	陆氏集团（越南）
367	莊士機構國際	庄士机构国际
368	德合集團	德合集团
369	永泰地產	永泰地产
370	港仔機器人	港仔机器人
371	北控水務集團	北控水务集团
372	保德國際發展	保德国际发展
373	聯合集團	联合集团
374	四洲集團	四洲集团
375	YGM TRADING	YGM TRADING
376	雲鋒金融	云锋金融
377	中國華君	中国华君
379	恒嘉融資租賃	恒嘉融资租赁
380	中國管業	中国管业
381	權識國際	权识国际
382	中滙集團	中汇集团
383	天安卓健	天安卓健
384	中國燃氣	中国燃气
385	建聯集團	建联集团
386	中國石油化工股份	中国石油化工股份
387	力豐（集團）	力丰（集团）
388	香港交易所	香港交易所
389	通天酒業	通天酒业
390	中國中鐵	中国中铁
391	美亞娛樂資訊	美亚娱乐资讯
392	北京控股	北京控股
393	旭日企業	旭日企业
396	興利（香港）控股	兴利（香港）控股
397	嬴集團	嬴集团
398	東方表行集團	东方表行集团
399	星太鏈集團	星太链集团
400	硬蛋創新	硬蛋创新
401	萬嘉集團	万嘉集团
403	星光集團	星光集团
405	越秀房產信託基金	越秀房产信托基金
406	有利集團	有利集团
408	葉氏化工集團	叶氏化工集团
