證券名單
截 至 26/01/2026
股份代號	股份名稱（繁體）	股份名称（简体）
19975	海智華泰六九購A	海智华泰六九购A
19976	國材華泰六九購B	国材华泰六九购B
19977	江銅華泰六九購A	江铜华泰六九购A
19979	中藥華泰六七購A	中药华泰六七购A
19980	港交法興六三購A	港交法兴六三购A
19981	有礦麥銀六五購A	有矿麦银六五购A
19982	順豐麥銀六乙購A	顺丰麦银六乙购A
19983	蒙牛摩通六八購A	蒙牛摩通六八购A
19984	閱文摩通六十購A	阅文摩通六十购A
19985	李寧摩通六五購A	李宁摩通六五购A
19986	長汽摩通六三購A	长汽摩通六三购A
19987	順豐摩通六八購A	顺丰摩通六八购A
19988	商湯摩通六三購A	商汤摩通六三购A
19989	阿里摩利六二沽A	阿里摩利六二沽A
19990	比迪法巴六三購A	比迪法巴六三购A
19991	阿里法巴六五沽A	阿里法巴六五沽A
19992	美團摩利六三沽A	美团摩利六三沽A
19993	招行摩利六二購A	招行摩利六二购A
19994	阿里瑞銀六三沽C	阿里瑞银六三沽C
19996	招行瑞銀六二購A	招行瑞银六二购A
19997	騰訊瑞銀六二購A	腾讯瑞银六二购A
19998	美團國君六三購C	美团国君六三购C
20001	聯想國君六二購A	联想国君六二购A
20003	港交國君六二沽A	港交国君六二沽A
20004	港交中銀六三購A	港交中银六三购A
20005	閱文中銀六十購A	阅文中银六十购A
20006	比迪中銀六三購A	比迪中银六三购A
20007	比迪中銀六九購A	比迪中银六九购A
20011	夏三中銀六三購B	夏三中银六三购B
20012	騰訊中銀六二購A	腾讯中银六二购A
20013	工行中銀六七購A	工行中银六七购A
20014	阿里中銀六二沽A	阿里中银六二沽A
20015	紫金中銀六四購A	紫金中银六四购A
20016	華虹中銀六九沽A	华虹中银六九沽A
20017	阿里中銀六六購C	阿里中银六六购C
20018	S金星展六三沽A	S金星展六三沽A
20019	比迪星展六三購A	比迪星展六三购A
20020	範式信證六三購A	范式信证六三购A
20021	青啤信證六七購A	青啤信证六七购A
20022	阿里華泰六三沽A	阿里华泰六三沽A
20023	阿里華泰六五購A	阿里华泰六五购A
20024	洛鉬華泰六八購A	洛钼华泰六八购A
20025	紫金華泰六六購B	紫金华泰六六购B
20026	比電華泰六九購A	比电华泰六九购A
20027	中銀華泰六五購A	中银华泰六五购A
20028	復醫華泰六五購A	复医华泰六五购A
20029	東金華泰六六購A	东金华泰六六购A
20030	石藥華泰六六購A	石药华泰六六购A
20031	紫金匯豐六七購A	紫金汇丰六七购A
20032	阿里匯豐六五購A	阿里汇丰六五购A
20033	騰訊匯豐六二購A	腾讯汇丰六二购A
20034	騰訊匯豐六二沽C	腾讯汇丰六二沽C
20035	舜光匯豐六五購A	舜光汇丰六五购A
20038	兗礦匯豐六五購A	兖矿汇丰六五购A
20039	東金麥銀六三購A	东金麦银六三购A
20040	招行麥銀六三購A	招行麦银六三购A
20041	中芯麥銀六甲購A	中芯麦银六甲购A
20042	農行摩通六二購A	农行摩通六二购A
20043	工行摩通六七購A	工行摩通六七购A
20044	招行摩通六二購A	招行摩通六二购A
20045	阿里摩通六三沽C	阿里摩通六三沽C
20046	美的摩通六六購A	美的摩通六六购A
20047	蒙牛花旗六八購A	蒙牛花旗六八购A
20048	恒指花旗六乙購A	恒指花旗六乙购A
20049	恒指花旗六二購A	恒指花旗六二购A
20050	石藥花旗六六購B	石药花旗六六购B
20051	阿里花旗六三沽A	阿里花旗六三沽A
20053	中壽花旗六四購A	中寿花旗六四购A
20054	騰訊花旗六二購A	腾讯花旗六二购A
20055	招行花旗六三購A	招行花旗六三购A
20056	紫金花旗六六沽A	紫金花旗六六沽A
20057	比迪法興六四購A	比迪法兴六四购A
20058	阿里法興六三沽A	阿里法兴六三沽A
20060	美團摩通六三購C	美团摩通六三购C
20061	騰訊國君六二購A	腾讯国君六二购A
20062	美團國君六二沽A	美团国君六二沽A
20065	阿里星展六三購B	阿里星展六三购B
20070	安踏瑞銀六六購B	安踏瑞银六六购B
20071	蒙牛瑞銀六八購A	蒙牛瑞银六八购A
20072	工行瑞銀六七購A	工行瑞银六七购A
20073	農行瑞銀六二購A	农行瑞银六二购A
20074	港交摩通六二購B	港交摩通六二购B
20076	京健摩通六五購A	京健摩通六五购A
20077	比迪摩通六七購B	比迪摩通六七购B
20078	有礦華泰六七購A	有矿华泰六七购A
20079	長和華泰六五購A	长和华泰六五购A
20080	新發華泰六五購A	新发华泰六五购A
20082	蜜雪華泰六三購A	蜜雪华泰六三购A
20083	東岳華泰六六購A	东岳华泰六六购A
20084	小米華泰六四購A	小米华泰六四购A
20086	S金華泰六五沽A	S金华泰六五沽A
20087	中聯中銀六三購A	中联中银六三购A
20088	中芯中銀六七沽A	中芯中银六七沽A
20089	中芯中銀六七購A	中芯中银六七购A
20091	美團摩利六三購C	美团摩利六三购C
20092	華虹摩利六七購A	华虹摩利六七购A
20093	舜光摩利六五購A	舜光摩利六五购A
20094	騰音摩利六五購A	腾音摩利六五购A
20095	蜜雪摩利六三購A	蜜雪摩利六三购A
20096	美圖摩利六三購A	美图摩利六三购A
20097	比迪摩利六七購B	比迪摩利六七购B
20099	中芯摩通六六購B	中芯摩通六六购B
20100	美團花旗六三購C	美团花旗六三购C
20101	蜜雪花旗六三購A	蜜雪花旗六三购A
20102	美團花旗六四購A	美团花旗六四购A
20104	比迪花旗六七購B	比迪花旗六七购B
20106	美團法興六三購C	美团法兴六三购C
20108	恒指中銀六乙購B	恒指中银六乙购B
20109	阿里法巴六五購A	阿里法巴六五购A
20110	騰訊法巴六三購A	腾讯法巴六三购A
20111	騰訊法巴六三購B	腾讯法巴六三购B
20112	中芯法巴六五購A	中芯法巴六五购A
20113	中芯匯豐六七購A	中芯汇丰六七购A
20114	中芯匯豐六七沽A	中芯汇丰六七沽A
20115	夏三匯豐六三購B	夏三汇丰六三购B
20116	美團匯豐六三購D	美团汇丰六三购D
20117	美團匯豐六二購B	美团汇丰六二购B
20118	美團摩通六四購A	美团摩通六四购A
20119	洛鉬摩通六六購A	洛钼摩通六六购A
20120	美團摩通七乙購A	美团摩通七乙购A
20121	騰訊信證六二購A	腾讯信证六二购A
20122	江銅信證六七購A	江铜信证六七购A
20123	阿里信證六四購A	阿里信证六四购A
20124	東金信證六三購A	东金信证六三购A
20125	S金信證六四購A	S金信证六四购A
20126	比迪信證六七購A	比迪信证六七购A
20128	美團國君六二購C	美团国君六二购C
20129	美團摩利六二購A	美团摩利六二购A
20130	舜光瑞銀六五沽A	舜光瑞银六五沽A
20131	舜光瑞銀六五購A	舜光瑞银六五购A
20132	蜜雪中銀六三購A	蜜雪中银六三购A
20135	美團中銀六三沽B	美团中银六三沽B
20137	快手摩利六六購A	快手摩利六六购A
20138	蔚來摩利六二購A	蔚来摩利六二购A
20141	工行摩利六七購A	工行摩利六七购A
20142	中免摩利六四購A	中免摩利六四购A
20143	美團摩利六四購A	美团摩利六四购A
20144	京物花旗六一購A	京物花旗六一购A
20145	農行花旗六二購A	农行花旗六二购A
20146	中化麥銀六十購A	中化麦银六十购A
20147	國信麥銀六三購A	国信麦银六三购A
20148	商湯麥銀六五沽A	商汤麦银六五沽A
20149	江銅麥銀六七購A	江铜麦银六七购A
20150	京東華泰六三沽A	京东华泰六三沽A
20151	匯豐華泰六七沽A	汇丰华泰六七沽A
20152	匯豐華泰六一購A	汇丰华泰六一购A
20153	友邦華泰六一購A	友邦华泰六一购A
20157	S金摩通六三沽A	S金摩通六三沽A
20158	建行摩通六二購A	建行摩通六二购A
20159	蜜雪摩通六三購A	蜜雪摩通六三购A
20161	藥康摩通六六購A	药康摩通六六购A
20162	中際麥銀六三購A	中际麦银六三购A
20163	中藥麥銀六十沽A	中药麦银六十沽A
20165	江銅中銀六六購A	江铜中银六六购A
20166	江銅法巴六七購A	江铜法巴六七购A
20168	美團法巴六三購C	美团法巴六三购C
20169	瑞聲法巴六四購A	瑞声法巴六四购A
20170	農泉信證七四購A	农泉信证七四购A
20171	美團信證六五沽A	美团信证六五沽A
20172	美團信證六二購B	美团信证六二购B
20173	比迪法興六一購B	比迪法兴六一购B
20176	眾安匯豐六四購A	众安汇丰六四购A
20177	順豐匯豐六八購A	顺丰汇丰六八购A
20178	工行匯豐六七購A	工行汇丰六七购A
20179	美團匯豐六四購A	美团汇丰六四购A
20180	港交匯豐六三購B	港交汇丰六三购B
20181	東海麥銀六六購A	东海麦银六六购A
20184	建行瑞銀六二購A	建行瑞银六二购A
20185	京東中銀六三沽A	京东中银六三沽A
20188	阿里中銀六四購A	阿里中银六四购A
20189	快手中銀六六購A	快手中银六六购A
20190	阿里國君六二沽A	阿里国君六二沽A
20193	阿里國君六四購A	阿里国君六四购A
20194	比迪國君六四購A	比迪国君六四购A
20195	周福摩利六四購A	周福摩利六四购A
20196	里康華泰六六購B	里康华泰六六购B
20197	美的華泰六六購A	美的华泰六六购A
20198	阿里摩利六四沽B	阿里摩利六四沽B
20199	比迪華泰六三購A	比迪华泰六三购A
20200	阿里摩利六三沽B	阿里摩利六三沽B
20201	美團華泰六二購A	美团华泰六二购A
20202	阿里摩利六二沽B	阿里摩利六二沽B
20203	優必華泰六三購A	优必华泰六三购A
20205	美團摩利六三購D	美团摩利六三购D
20206	泡瑪華泰六二購A	泡玛华泰六二购A
20207	商湯摩利六二購A	商汤摩利六二购A
20209	錦欣華泰六五購A	锦欣华泰六五购A
20210	華啤摩利六一購A	华啤摩利六一购A
20212	美的摩利六六購A	美的摩利六六购A
20215	招行摩利六二購B	招行摩利六二购B
20217	比迪摩利六四購A	比迪摩利六四购A
20218	比迪摩利六二購B	比迪摩利六二购B
20219	比迪摩利六三購A	比迪摩利六三购A
20220	攜程瑞銀六乙沽A	携程瑞银六乙沽A
20221	京健瑞銀六五購A	京健瑞银六五购A
20222	美團瑞銀六二購C	美团瑞银六二购C
20223	阿里瑞銀六三沽D	阿里瑞银六三沽D
20224	阿里瑞銀六三沽E	阿里瑞银六三沽E
20225	港交瑞銀六三購B	港交瑞银六三购B
20226	紫金瑞銀六四購A	紫金瑞银六四购A
20227	比迪瑞銀六三購A	比迪瑞银六三购A
20228	中科麥銀六三購A	中科麦银六三购A
20229	農泉麥銀六三購A	农泉麦银六三购A
20230	交銀麥銀六五購A	交银麦银六五购A
20231	阿里摩通六三購D	阿里摩通六三购D
20232	紫金摩通六三購A	紫金摩通六三购A
20233	比迪摩通六二購B	比迪摩通六二购B
20234	蔚來摩通六二購A	蔚来摩通六二购A
20235	康方摩通六三購A	康方摩通六三购A
20236	阿里匯豐六三沽A	阿里汇丰六三沽A
20237	阿里匯豐六六購B	阿里汇丰六六购B
20238	比迪匯豐六三購A	比迪汇丰六三购A
20239	建行匯豐六二購A	建行汇丰六二购A
20240	蜜雪法巴六三購A	蜜雪法巴六三购A
20241	阿里法巴六二沽A	阿里法巴六二沽A
20242	吉利信證六四購B	吉利信证六四购B
20243	金雲信證六五購A	金云信证六五购A
20244	優必信證六三購A	优必信证六三购A
20245	比迪信證六三購A	比迪信证六三购A
20246	阿里信證六三沽A	阿里信证六三沽A
20247	中壽信證六一購C	中寿信证六一购C
20248	港交信證六三購A	港交信证六三购A
20249	華虹信證六五購A	华虹信证六五购A
20250	紫金法興六三購A	紫金法兴六三购A
20251	石藥法興六三購A	石药法兴六三购A
20252	華虹法興六五購A	华虹法兴六五购A
20253	港交法興六三購B	港交法兴六三购B
20254	中銀法興六七購A	中银法兴六七购A
20255	紫金花旗六四購A	紫金花旗六四购A
20256	中化花旗六四購A	中化花旗六四购A
20257	中油花旗六二購A	中油花旗六二购A
20258	康方花旗六一購A	康方花旗六一购A
20259	江銅花旗六六購A	江铜花旗六六购A
20260	洛鉬花旗六六購A	洛钼花旗六六购A
20261	建行中銀六三購A	建行中银六三购A
20262	阿里中銀六二沽B	阿里中银六二沽B
20263	寧德中銀六二購A	宁德中银六二购A
20264	李寧中銀六五購A	李宁中银六五购A
20265	紫金麥銀六六購A	紫金麦银六六购A
20266	招金麥銀六三購A	招金麦银六三购A
20268	晶泰摩利六二購B	晶泰摩利六二购B
20269	小米摩利六二購B	小米摩利六二购B
20270	中鋁摩利六七購A	中铝摩利六七购A
20273	中銀摩利六二購A	中银摩利六二购A
20276	老鋪摩利六二購C	老铺摩利六二购C
20277	騰訊摩利六二購A	腾讯摩利六二购A
20278	阿里瑞銀六四購A	阿里瑞银六四购A
20279	比迪瑞銀六四購A	比迪瑞银六四购A
20280	阿里瑞銀六四沽A	阿里瑞银六四沽A
20281	S金瑞銀六二沽B	S金瑞银六二沽B
20282	招行瑞銀六二購B	招行瑞银六二购B
20283	中壽瑞銀六一購B	中寿瑞银六一购B
20284	中化瑞銀六四購A	中化瑞银六四购A
20285	騰訊華泰六二購A	腾讯华泰六二购A
20286	三生華泰六二購A	三生华泰六二购A
20287	協鑫華泰六五購A	协鑫华泰六五购A
20288	晶泰華泰六二購A	晶泰华泰六二购A
20289	阿里信證六二沽A	阿里信证六二沽A
20290	中芯信證六六購B	中芯信证六六购B
20291	中芯信證六十購B	中芯信证六十购B
20292	中芯信證六四購B	中芯信证六四购B
20293	比迪信證六四購A	比迪信证六四购A
20294	里康信證六八購A	里康信证六八购A
20295	港交摩通六三購A	港交摩通六三购A
20296	阿里摩通六三沽D	阿里摩通六三沽D
20297	長實花旗六三購A	长实花旗六三购A
20298	阿里花旗六四購A	阿里花旗六四购A
20299	蔚來花旗六二購A	蔚来花旗六二购A
20300	中聯法興六三購A	中联法兴六三购A
20302	中芯法興六四購A	中芯法兴六四购A
20303	中芯法興六六購B	中芯法兴六六购B
20304	騰訊法興六二購A	腾讯法兴六二购A
20305	匯豐法興六七沽A	汇丰法兴六七沽A
20306	騰訊法興六二沽A	腾讯法兴六二沽A
20307	建行法巴六四購A	建行法巴六四购A
20308	紫金法巴六四購A	紫金法巴六四购A
20309	銀証麥銀六三購A	银证麦银六三购A
20310	里康麥銀六五購A	里康麦银六五购A
20311	攜程摩通六乙沽A	携程摩通六乙沽A
20312	阿里摩利六二沽C	阿里摩利六二沽C
20313	阿里匯豐六三沽B	阿里汇丰六三沽B
20314	江銅摩利六六購A	江铜摩利六六购A
20315	東金中銀六三購A	东金中银六三购A
20316	中芯中銀六四購B	中芯中银六四购B
20317	康方中銀六二購A	康方中银六二购A
20318	泡瑪中銀六二購B	泡玛中银六二购B
20319	騰訊瑞銀六二購B	腾讯瑞银六二购B
20320	中芯瑞銀六七沽A	中芯瑞银六七沽A
20321	長實瑞銀六三購A	长实瑞银六三购A
20322	中芯瑞銀六六購B	中芯瑞银六六购B
20324	周福華泰六八購A	周福华泰六八购A
20325	新發華泰六三購B	新发华泰六三购B
20326	百度華泰六六購B	百度华泰六六购B
20327	阿里花旗六三沽B	阿里花旗六三沽B
20329	平醫花旗六二購A	平医花旗六二购A
20330	中芯花旗六四購A	中芯花旗六四购A
20332	阿里摩通六二沽A	阿里摩通六二沽A
20333	中化摩通六四購A	中化摩通六四购A
20334	小米摩通六二購C	小米摩通六二购C
20335	江銅摩通六六購A	江铜摩通六六购A
20337	晶泰摩通六二購B	晶泰摩通六二购B
20338	泡瑪信證六三購A	泡玛信证六三购A
20339	協鑫信證六三購A	协鑫信证六三购A
20340	快手信證六六購A	快手信证六六购A
20341	美圖信證六五購A	美图信证六五购A
20342	平醫信證七乙購A	平医信证七乙购A
20343	優必法巴六三購A	优必法巴六三购A
20344	寧德法巴六四購A	宁德法巴六四购A
20345	恒指法巴六一沽A	恒指法巴六一沽A
20346	海撈法巴六四購A	海捞法巴六四购A
20347	騰訊法巴六四沽A	腾讯法巴六四沽A
20348	S金法興六四購A	S金法兴六四购A
20349	平安法興六三購A	平安法兴六三购A
20350	平醫法興六二購A	平医法兴六二购A
20351	美團法興六二購B	美团法兴六二购B
20352	快手法興六六購A	快手法兴六六购A
20353	阿里法興六二沽B	阿里法兴六二沽B
20354	泡瑪匯豐六三購B	泡玛汇丰六三购B
20355	里康匯豐六六購A	里康汇丰六六购A
20356	百度匯豐六七購A	百度汇丰六七购A
20357	S金匯豐六五沽A	S金汇丰六五沽A
20358	S金匯豐六三沽A	S金汇丰六三沽A
20359	阿里法巴六三沽B	阿里法巴六三沽B
20360	美團信證六三購C	美团信证六三购C
20362	阿里匯豐六四沽C	阿里汇丰六四沽C
20364	吉利中銀六四購A	吉利中银六四购A
20365	石藥中銀六三購A	石药中银六三购A
20366	阿里摩利六三購D	阿里摩利六三购D
20367	阿里瑞銀六七沽A	阿里瑞银六七沽A
20368	S金麥銀六乙沽A	S金麦银六乙沽A
20370	比迪國君六三購A	比迪国君六三购A
20371	網易國君六六購A	网易国君六六购A
20373	中芯國君六四購B	中芯国君六四购B
20374	潤電花旗六二購A	润电花旗六二购A
20375	順豐花旗六八購A	顺丰花旗六八购A
20376	美團花旗六三沽B	美团花旗六三沽B
20377	再鼎花旗六七購A	再鼎花旗六七购A
20378	華能花旗六三購A	华能花旗六三购A
20379	中化法巴六四購A	中化法巴六四购A
20380	里康法巴六六購A	里康法巴六六购A
20382	康方法巴六三購A	康方法巴六三购A
20383	恒科法巴六三購A	恒科法巴六三购A
20384	安踏法巴六六購A	安踏法巴六六购A
20385	平醫華泰六二購C	平医华泰六二购C
20386	中芯華泰六四購A	中芯华泰六四购A
20387	江銅華泰六五購A	江铜华泰六五购A
20388	攜程華泰六二購A	携程华泰六二购A
20389	中際華泰六三購A	中际华泰六三购A
20390	青啤華泰六七購A	青啤华泰六七购A
20391	贛鋒華泰六甲購A	赣锋华泰六甲购A
20393	小米華泰六二購B	小米华泰六二购B
20394	康方匯豐六三購B	康方汇丰六三购B
20395	美團匯豐六三購E	美团汇丰六三购E
20396	海撈匯豐六四購A	海捞汇丰六四购A
20397	吉利信證六三沽A	吉利信证六三沽A
20399	速騰信證六六購A	速腾信证六六购A
20400	比迪信證六三沽A	比迪信证六三沽A
20401	太科信證六六購A	太科信证六六购A
20404	康方法興六三購A	康方法兴六三购A
20405	百度法興六六購A	百度法兴六六购A
20406	美團摩通六三購D	美团摩通六三购D
20407	百度摩通六六購A	百度摩通六六购A
20408	中建信證六三購A	中建信证六三购A
20409	舜光摩通六四沽A	舜光摩通六四沽A
20410	美團星展六三購B	美团星展六三购B
20411	紫金摩利六三購A	紫金摩利六三购A
20413	恒指摩利六一購A	恒指摩利六一购A
20414	美團華泰六三購B	美团华泰六三购B
20415	招行摩利六二沽A	招行摩利六二沽A
20416	順豐華泰六八購A	顺丰华泰六八购A
20418	洛鉬摩利六五購A	洛钼摩利六五购A
20420	石藥摩利六三購A	石药摩利六三购A
20421	萬象麥銀七二購A	万象麦银七二购A
20423	百度麥銀六四沽A	百度麦银六四沽A
20424	錦欣麥銀六三購A	锦欣麦银六三购A
20425	新發麥銀六三購A	新发麦银六三购A
20427	百度瑞銀六六購A	百度瑞银六六购A
20429	中建麥銀六三購A	中建麦银六三购A
20430	光環麥銀七三購A	光环麦银七三购A
20431	百度信證六四沽A	百度信证六四沽A
20433	美團信證六三沽B	美团信证六三沽B
20435	騰訊信證六三沽C	腾讯信证六三沽C
20436	京東信證六七沽A	京东信证六七沽A
20437	嗶哩信證六三沽A	哔哩信证六三沽A
20438	眾安信證六三購A	众安信证六三购A
20439	理想信證六四購A	理想信证六四购A
20440	飛鶴信證六七購A	飞鹤信证六七购A
20441	海智信證六五購A	海智信证六五购A
20442	阿里信證六五購B	阿里信证六五购B
20444	阿里信證六六沽A	阿里信证六六沽A
20446	贛鋒花旗六十購A	赣锋花旗六十购A
20447	嗶哩花旗六三沽A	哔哩花旗六三沽A
20448	友邦花旗六甲沽A	友邦花旗六甲沽A
20449	匯豐花旗六七沽A	汇丰花旗六七沽A
20450	泡瑪法興六二購A	泡玛法兴六二购A
20451	百度法巴六六購A	百度法巴六六购A
20452	美團法巴六五沽A	美团法巴六五沽A
20454	阿里法巴六五沽B	阿里法巴六五沽B
20456	阿里摩通六四購A	阿里摩通六四购A
20457	吉利匯豐六四購A	吉利汇丰六四购A
20458	比迪匯豐六三購B	比迪汇丰六三购B
20459	安踏匯豐六六購A	安踏汇丰六六购A
20460	中芯匯豐六四購A	中芯汇丰六四购A
20461	阿里匯豐六六購C	阿里汇丰六六购C
20462	里康摩通六五購A	里康摩通六五购A
20464	百度中銀六六購B	百度中银六六购B
20465	泡瑪摩利六三購A	泡玛摩利六三购A
20467	康方摩利六三購A	康方摩利六三购A
20469	泡瑪華泰六三購A	泡玛华泰六三购A
20470	泡瑪華泰六十購A	泡玛华泰六十购A
20471	中芯華泰六十購A	中芯华泰六十购A
20472	安踏華泰六六購A	安踏华泰六六购A
20475	紫金華泰六六沽A	紫金华泰六六沽A
20477	美團摩通六三沽B	美团摩通六三沽B
20478	騰訊星展六三沽A	腾讯星展六三沽A
20479	騰訊國君六三沽A	腾讯国君六三沽A
20480	百度國君六五購A	百度国君六五购A
20481	港交國君六三購A	港交国君六三购A
20482	泡瑪國君六三購A	泡玛国君六三购A
20483	石藥法興六六購B	石药法兴六六购B
20484	藥康法興六三購A	药康法兴六三购A
20486	小米法興六八購B	小米法兴六八购B
20487	中芯法興六七沽A	中芯法兴六七沽A
20488	協鑫法興六三購A	协鑫法兴六三购A
20489	長汽法興六三購A	长汽法兴六三购A
20490	招行瑞銀六二沽A	招行瑞银六二沽A
20491	美團瑞銀六三購D	美团瑞银六三购D
20492	小米瑞銀六二購C	小米瑞银六二购C
20493	石藥法巴六四購A	石药法巴六四购A
20495	比迪法巴六三購B	比迪法巴六三购B
20496	阿里法巴六五購B	阿里法巴六五购B
20497	泡瑪法巴六三購B	泡玛法巴六三购B
20498	理想匯豐六四購A	理想汇丰六四购A
20499	泡瑪匯豐六三購C	泡玛汇丰六三购C
20501	信光信證六乙購A	信光信证六乙购A
20502	龍電信證六九購A	龙电信证六九购A
20503	建板信證六五購A	建板信证六五购A
20506	貝殼花旗六四購A	贝壳花旗六四购A
20508	百度花旗六四購A	百度花旗六四购A
20509	石藥花旗六三購A	石药花旗六三购A
20510	美圖花旗六三購A	美图花旗六三购A
20511	中藥花旗六四購A	中药花旗六四购A
20512	阿里國君六六沽A	阿里国君六六沽A
20513	網易麥銀六三沽A	网易麦银六三沽A
20514	藥明麥銀六四沽A	药明麦银六四沽A
20515	恒地麥銀六六購A	恒地麦银六六购A
20516	龍湖麥銀六三購A	龙湖麦银六三购A
20517	阿里麥銀六四購A	阿里麦银六四购A
20518	騰訊中銀六三沽B	腾讯中银六三沽B
20519	美團摩利六三購E	美团摩利六三购E
20521	騰訊摩利六三沽B	腾讯摩利六三沽B
20522	阿里國君六三購C	阿里国君六三购C
20524	阿里國君六六購B	阿里国君六六购B
20525	美團國君六三購D	美团国君六三购D
20526	匯豐國君六一購B	汇丰国君六一购B
20527	友邦國君六二購A	友邦国君六二购A
20528	恒指瑞銀六三沽A	恒指瑞银六三沽A
20529	恒指瑞銀六三沽B	恒指瑞银六三沽B
20530	阿里瑞銀六三沽F	阿里瑞银六三沽F
20531	阿里瑞銀六三沽G	阿里瑞银六三沽G
20532	萬國華泰六六購A	万国华泰六六购A
20533	商湯華泰六四購B	商汤华泰六四购B
20534	中宏華泰六六購A	中宏华泰六六购A
20535	阿里星展六六沽A	阿里星展六六沽A
20537	騰訊摩通六三沽B	腾讯摩通六三沽B
20538	美團摩通六三購E	美团摩通六三购E
20539	中金摩通六二購A	中金摩通六二购A
20540	華能摩通六三購A	华能摩通六三购A
20541	招行摩通六二沽A	招行摩通六二沽A
20542	泡瑪摩通六三購A	泡玛摩通六三购A
20543	協鑫摩通六三購B	协鑫摩通六三购B
20544	阿里摩通六三沽E	阿里摩通六三沽E
20545	協鑫花旗六三購A	协鑫花旗六三购A
20546	港交花旗六二沽A	港交花旗六二沽A
20547	海螺花旗六四購A	海螺花旗六四购A
20548	百度信證六七沽A	百度信证六七沽A
20549	恒中信證六三沽A	恒中信证六三沽A
20550	恒中信證六三購A	恒中信证六三购A
20553	S金信證六三沽A	S金信证六三沽A
20554	S金信證六九購A	S金信证六九购A
20555	比迪信證六三購B	比迪信证六三购B
20558	舜光信證六五購A	舜光信证六五购A
20559	理想法巴六五購A	理想法巴六五购A
20560	港交法巴六二購B	港交法巴六二购B
20561	阿里法巴六七沽A	阿里法巴六七沽A
20562	百度法巴六四沽A	百度法巴六四沽A
20563	美團法巴六三購D	美团法巴六三购D
20564	百度匯豐六三沽A	百度汇丰六三沽A
20567	江銅匯豐六五購A	江铜汇丰六五购A
20568	萬國匯豐六四購A	万国汇丰六四购A
20569	中芯匯豐六十購B	中芯汇丰六十购B
20570	農泉匯豐六三購A	农泉汇丰六三购A
20573	阿里匯豐六六沽A	阿里汇丰六六沽A
20574	百度國君六四沽A	百度国君六四沽A
20575	理想國君六四購A	理想国君六四购A
20576	美團國君六三沽B	美团国君六三沽B
20577	阿里中銀六四購B	阿里中银六四购B
20579	阿里中銀六五購A	阿里中银六五购A
20580	泡瑪中銀六三購A	泡玛中银六三购A
20581	中芯中銀六十購A	中芯中银六十购A
20582	海螺中銀六四購A	海螺中银六四购A
20583	華能中銀六三購A	华能中银六三购A
20584	阿里中銀六六沽A	阿里中银六六沽A
20586	美團瑞銀六三購E	美团瑞银六三购E
20587	泡瑪星展六三購A	泡玛星展六三购A
20588	寧德星展六三沽A	宁德星展六三沽A
20589	阿里華泰六五購B	阿里华泰六五购B
20590	S金華泰六四購A	S金华泰六四购A
20591	眾安華泰六三購A	众安华泰六三购A
20592	阿里華泰六四購A	阿里华泰六四购A
20593	國藥花旗六二購A	国药花旗六二购A
20594	優必花旗六三購A	优必花旗六三购A
20595	晶泰花旗六二購A	晶泰花旗六二购A
20596	騰訊花旗六三沽B	腾讯花旗六三沽B
20597	美團花旗六三購D	美团花旗六三购D
20598	百度摩利六三購A	百度摩利六三购A
20599	江銅摩利六三購B	江铜摩利六三购B
20600	京東摩利六三購A	京东摩利六三购A
20601	騰訊摩利七七購A	腾讯摩利七七购A
20602	阿里摩利六四購A	阿里摩利六四购A
20604	中化摩利六九購A	中化摩利六九购A
20605	騰訊摩利六二購B	腾讯摩利六二购B
20606	中油摩利六九購A	中油摩利六九购A
20607	聯想摩利六二購A	联想摩利六二购A
20609	協鑫摩利六三購A	协鑫摩利六三购A
20610	騰訊摩利六三沽C	腾讯摩利六三沽C
20611	里康摩利六五購A	里康摩利六五购A
20612	阿里摩利六六沽A	阿里摩利六六沽A
20613	阿里摩利六四沽C	阿里摩利六四沽C
20614	泡瑪摩通六三購B	泡玛摩通六三购B
20615	泡瑪摩通六十購B	泡玛摩通六十购B
20616	泡瑪摩通六三購C	泡玛摩通六三购C
20620	騰訊摩通六三沽C	腾讯摩通六三沽C
20622	海智摩通六四購A	海智摩通六四购A
20623	寧德麥銀六四沽A	宁德麦银六四沽A
20624	泡瑪麥銀六三購B	泡玛麦银六三购B
20625	泡瑪麥銀六三購C	泡玛麦银六三购C
20626	遠能麥銀六三購A	远能麦银六三购A
20627	泡瑪信證六三購B	泡玛信证六三购B
20628	網易信證六六購A	网易信证六六购A
20629	同程信證六五購A	同程信证六五购A
20630	攜程信證六四購A	携程信证六四购A
20631	寧德信證七乙沽A	宁德信证七乙沽A
20632	海螺麥銀六六購A	海螺麦银六六购A
20633	泡瑪匯豐六三購D	泡玛汇丰六三购D
20634	美團匯豐六六購B	美团汇丰六六购B
20635	泡瑪匯豐七六購A	泡玛汇丰七六购A
20636	比迪匯豐六四購A	比迪汇丰六四购A
20637	騰訊匯豐六三沽B	腾讯汇丰六三沽B
20638	阿里匯豐六三購C	阿里汇丰六三购C
20640	泡瑪法興六十購A	泡玛法兴六十购A
20641	泡瑪法興六三購A	泡玛法兴六三购A
20642	阿里法興六六沽A	阿里法兴六六沽A
20643	國材法興六九購B	国材法兴六九购B
20644	海螺法興六四購A	海螺法兴六四购A
20645	眾安法興六三購A	众安法兴六三购A
