75	ADSK	Autodesk, Inc.	57.13B	270.00	0.09%	6.89B
76	NDAQ	Nasdaq, Inc.	55.99B	98.05	-0.74%	8.17B
77	BIDU	Baidu, Inc.	55.50B	161.44	-0.66%	18.33B
78	IDXX	IDEXX Laboratories, Inc.	55.40B	693.85	0.41%	4.17B
79	TRI	Thomson Reuters Corporation	55.00B	123.40	1.27%	7.38B
80	BKR	Baker Hughes Company	53.21B	53.92	-0.99%	27.71B
81	PYPL	PayPal Holdings, Inc.	52.98B	56.62	-0.93%	32.86B
82	MSTR	Strategy Inc	52.47B	163.11	1.32%	474.94M
83	MPWR	Monolithic Power Systems, Inc.	50.96B	1,063.74	-1.20%	2.66B
84	EA	Electronic Arts Inc.	50.88B	204.00	-0.19%	7.29B
85	ARGX	argenx SE	50.44B	814.74	-1.48%	3.68B
86	FAST	Fastenal Company	50.39B	43.89	-1.99%	8.20B
87	WDAY	Workday, Inc.	49.78B	189.26	0.57%	9.23B
88	AXON	Axon Enterprise, Inc.	48.71B	613.14	0.96%	2.56B
89	FER	Ferrovial SE	47.94B	67.04	-0.55%	10.98B
90	RKLB	Rocket Lab Corporation	47.49B	88.90	1.05%	554.54M
91	ALNY	Alnylam Pharmaceuticals, Inc.	47.29B	357.98	-3.25%	3.21B
92	CRWV	CoreWeave, Inc.	46.33B	92.98	1.30%	4.31B
93	DDOG	Datadog, Inc.	45.63B	130.13	-0.85%	3.21B
94	TTWO	Take-Two Interactive Software, Inc.	45.41B	245.73	1.92%	6.22B
95	EXC	Exelon Corporation	44.51B	44.06	-1.21%	24.32B
96	XEL	Xcel Energy Inc.	44.37B	75.01	-1.12%	14.23B
97	FANG	Diamondback Energy, Inc.	44.11B	154.02	1.43%	14.63B
98	ROP	Roper Technologies, Inc.	43.87B	407.61	0.03%	7.72B
99	JD	JD.com, Inc.	42.34B	29.84	-0.53%	183.14B
100	EBAY	eBay Inc.	42.31B	93.61	-0.29%	10.71B
101	ASTS	AST SpaceMobile, Inc.	42.05B	113.57	-2.41%	18.53M
102	TCOM	Trip.com Group Limited	41.10B	62.88	1.26%	8.39B
103	CTSH	Cognizant Technology Solutions Corporation	40.63B	84.18	-0.51%	20.86B
104	CCEP	Coca-Cola Europacific Partners PLC	40.39B	89.85	0.22%	24.47B
105	MCHP	Microchip Technology Incorporated	40.38B	74.71	-1.01%	4.21B
106	CPRT	Copart, Inc.	40.08B	41.40	0.31%	4.66B
107	MDLN	Medline Inc.	38.28B	46.00	0.09%	27.43B
108	PAYX	Paychex, Inc.	38.28B	106.63	-0.52%	6.03B
109	KDP	Keurig Dr Pepper Inc.	37.71B	27.76	0.76%	16.17B
110	ONC	BeOne Medicines AG	37.55B	339.32	0.15%	4.97B
111	SYM	Symbotic Inc.	37.32B	62.08	-2.25%	2.25B
112	ODFL	Old Dominion Freight Line, Inc.	36.45B	174.30	-2.22%	5.57B
113	SATS	EchoStar Corporation	36.42B	126.50	-1.15%	15.18B
114	FISV	Fiserv, Inc.	36.34B	67.56	0.24%	21.16B
115	GEHC	GE HealthCare Technologies Inc.	36.34B	79.77	-2.59%	20.25B
116	TER	Teradyne, Inc.	35.89B	229.18	0.02%	2.86B
117	ERIC	Telefonaktiebolaget LM Ericsson (publ)	35.07B	10.43	8.87%	25.68B
118	UAL	United Airlines Holdings, Inc.	34.88B	107.74	-2.41%	59.07B
119	RYAAY	Ryanair Holdings plc	34.87B	70.97	0.07%	17.69B
120	TEAM	Atlassian Corporation	34.66B	131.75	2.58%	5.46B
121	IBKR	Interactive Brokers Group, Inc.	34.55B	77.58	0.48%	6.21B
122	KMB	Kimberly-Clark Corporation	33.93B	102.23	0.04%	19.72B
123	ESLT	Elbit Systems Ltd.	33.71B	718.99	1.43%	7.72B
124	ACGL	Arch Capital Group Ltd.	33.57B	92.96	0.49%	19.54B
125	FITB	Fifth Third Bancorp	33.55B	50.74	-0.29%	8.36B
126	ZS	Zscaler, Inc.	33.43B	209.62	0.63%	2.83B
127	NTRA	Natera, Inc.	33.42B	241.58	-0.55%	2.12B
128	INSM	Insmed Incorporated	33.32B	156.21	-2.61%	447.02M
129	EXPE	Expedia Group, Inc.	33.22B	271.14	-3.05%	14.37B
130	VOD	Vodafone Group Public Limited Company	33.09B	14.17	1.65%	45.50B
131	SOFI	SoFi Technologies, Inc.	32.67B	25.85	-0.92%	3.29B
132	MDB	MongoDB, Inc.	32.45B	398.69	-1.47%	2.32B
133	FOXA	Fox Corporation	32.35B	72.87	0.74%	16.47B
134	WTW	Willis Towers Watson Public Limited Company	30.91B	322.81	0.11%	9.81B
135	FOX	Fox Corporation	30.62B	65.53	0.77%	16.47B
136	ULTA	Ulta Beauty, Inc.	30.44B	686.12	0.66%	11.98B
137	VRSK	Verisk Analytics, Inc.	30.39B	218.04	-0.21%	3.03B
138	FTAI	FTAI Aviation Ltd.	29.96B	292.10	-0.47%	2.34B
139	BNTX	BioNTech SE	29.10B	115.98	-2.10%	3.70B
140	LPLA	LPL Financial Holdings Inc.	28.98B	362.11	-4.26%	15.16B
141	TSCO	Tractor Supply Company	28.90B	54.69	2.42%	15.40B
142	ALAB	Astera Labs, Inc.	28.66B	169.66	-3.79%	723.04M
143	DXCM	DexCom, Inc.	28.42B	72.86	-1.43%	4.52B
144	CHTR	Charter Communications, Inc.	27.97B	191.69	-0.51%	55.10B
145	CSGP	CoStar Group, Inc.	27.80B	65.60	-1.00%	3.06B
146	NTRS	Northern Trust Corporation	27.70B	148.63	-2.93%	8.09B
147	KHC	The Kraft Heinz Company	27.46B	23.20	2.11%	25.16B
148	HBAN	Huntington Bancshares Incorporated	27.20B	17.35	-1.64%	7.70B
149	STLD	Steel Dynamics, Inc.	26.48B	181.32	1.40%	17.63B
150	EXE	Expand Energy Corporation	26.08B	109.49	-	10.78B
151	FSLR	First Solar, Inc.	25.98B	242.15	1.03%	5.05B
152	DLTR	Dollar Tree, Inc.	25.64B	128.92	1.68%	18.96B
153	ZM	Zoom Communications, Inc.	25.40B	85.78	1.33%	4.81B
154	BIIB	Biogen Inc.	25.17B	171.59	-1.27%	10.07B
155	FCNCA	First Citizens BancShares, Inc.	25.08B	2,016.56	-8.49%	8.90B
156	ON	ON Semiconductor Corporation	24.94B	61.98	-1.73%	6.19B
157	RGLD	Royal Gold, Inc.	24.74B	293.09	1.83%	849.26M
158	CINF	Cincinnati Financial Corporation	24.50B	157.03	-0.71%	12.08B
159	TW	Tradeweb Markets Inc.	24.31B	102.80	-0.72%	1.99B
160	CRDO	Credo Technology Group Holding Ltd	24.05B	133.16	-1.44%	796.13M
